ID,School_ID,School_name,Latitude,Longitude,Mapped
141993,100315,Lubnac ES,18.220935,120.670725,1
141994,100308,Alejo Malasig ES,18.21735,120.6379333,1
141995,150005,Bulbulala PS,18.216528,120.692525,1
141996,150014,Mabanbanag PS,18.213716,120.728236,1
141997,100301,Namoroc-Mabanbanag ES,18.211869,120.715261,1
141998,500343,Pallas IS,,,0
141999,500344,SALPAD INTEGRATED SCHOOL,,,0
142000,500591,Florentino Camaquin Integrated School,,,0
142001,100343,Palasipas ES,16.931972,120.520118,1
142002,100336,Dalawa Elementary School,16.916443,120.519879,1
142003,150509,Dagdag Elementary School,16.914445,120.592827,1
142004,100332,Batbato ES,16.912952,120.565044,1
142005,100335,Daddaay Elementary School,16.909247,120.601318,1
142006,100342,Naonao Elementary School,16.90463,120.587769,1
142007,100339,Guilong PS,16.901874,120.516982,1
142008,100325,Aguiwas Elementary School,16.900171,120.516514,1
142009,100326,ALILEM CENTRAL SCHOOL,16.888429,120.527193,1
142010,300033,Alilem NHS (Alilem Daya HS),16.88777778,120.5261111,1
142011,100330,Apaya ES,16.881414,120.582586,1
142012,100328,Anaao ES,16.874024,120.545729,1
142013,100338,Kiat ES,16.872787,120.521918,1
142014,100327,Amilongan ES,16.86434,120.583907,1
142015,100329,Apang ES,16.86433,120.583875,1
142016,100349,Bay-asan PS,17.270027,120.502029,1
142017,150502,Bagbagotot PS,17.245134,120.469627,1
142018,100361,Naguimba ES,17.24214,120.488319,1
142019,100346,Banayoyo CS,17.236158,120.479569,1
142020,100352,Casilagan ES,17.235868,120.471115,1
142021,300037,Banayoyo NHS,17.234802,120.480192,1
142022,100360,Montero ES,17.220928,120.490822,1
142023,100347,Banlo Elementary School,17.220154,120.501457,1
142024,100376,Lingsat ES,17.62150278,120.4614167,1
142025,100373,Cabusligan-Quimmarayan ES,17.611149,120.428535,1
142026,100385,Tay-ac Elementary School,17.60978333,120.4460639,1
142027,300087,Tay-ac National High School,17.60978333,120.4460639,1
142028,100377,Malingeb ES,17.60644444,120.4252306,1
142029,100374,Capangdanan Elementary School,17.601889,120.414963,1
142030,100375,Guimod ES,17.601,120.3928167,1
142031,100378,Ora East ES,17.596485,120.421852,1
142032,100379,Ora West ES,17.594046,120.415077,1
142033,100372,Bulag ES,17.59082222,120.4255889,1
142034,300038,Bantay National High School,17.590695,120.425648,1
142035,100368,Balaleng ES,17.5867,120.385,1
142036,100383,Silang Elementary School,17.58535,120.4050639,1
142037,100371,Bantay West Central School,17.581355,120.387946,1
142038,100370,Bantay East CS,17.580377,120.390582,1
142039,100380,Paing Elementary School,17.57930278,120.4506139,1
142040,100384,Taguiporo ES,17.57891111,120.4296861,1
142041,100382,San Julian ES,17.576826,120.408485,1
142042,100369,BANAOANG ELEMENTARY SCHOOL,17.565559,120.462601,1
142043,100381,Sallacong Elementary School,17.552488,120.487938,1
142044,100394,Mambug Elementary School,17.35027222,120.4870639,1
142045,100390,Cabcaburao ES,17.337103,120.509079,1
142046,100389,Burgos Central School,17.33367,120.494194,1
142047,300041,Burgos National High School,17.33337222,120.4966917,1
142048,100393,Macaoayan Comm. Sch.,17.325245,120.494926,1
142049,100392,Luna Community School,17.31555278,120.5095694,1
142050,100391,Lubing Elementary School,17.313145,120.537529,1
142051,100395,Padayao ES,17.302408,120.49144,1
142052,100396,Patac ES,17.29728333,120.518525,1
142053,100388,Bessang ES,17.29318889,120.535375,1
142054,100406,Caset Primary School,17.834417,120.521324,1
142055,100412,Maradodon Elementary,17.832705,120.520363,1
